accuracy,loss,val_accuracy,val_loss
0.40646976232528687,1.4524760246276855,0.5394737124443054,1.2307533025741577
0.5752461552619934,1.1560484170913696,0.6118420958518982,1.1327123641967773
0.6455696225166321,0.9407270550727844,0.625,0.954431414604187
0.6933895945549011,0.814664900302887,0.6842105388641357,1.0072591304779053
0.7341772317886353,0.7173081040382385,0.7105262875556946,0.8030145764350891
0.7904360294342041,0.614491879940033,0.7631579041481018,0.7490962743759155
0.7904360294342041,0.5697442889213562,0.7697368264198303,0.9528400897979736
0.8284106850624084,0.4662271738052368,0.8289473652839661,0.6722198128700256
0.849507749080658,0.41259104013442993,0.7894737124443054,0.755150556564331
0.8368495106697083,0.421713650226593,0.7631579041481018,0.8779361248016357
0.8635724186897278,0.37144893407821655,0.8223684430122375,0.6731768846511841
0.8776371479034424,0.32642343640327454,0.8421052694320679,0.6323021054267883
0.8832629919052124,0.3214138448238373,0.8618420958518982,0.6516423225402832
0.9113923907279968,0.2579498291015625,0.8552631735801697,0.6259483098983765
0.902953565120697,0.2748810350894928,0.8421052694320679,0.6294158101081848
