model,accuracy,precision,recall,f1_score
Baseline,0.8300653594771242,0.8321599204984138,0.8300653594771242,0.8264008571189613
Optimized,0.7647058823529411,0.7610112563543937,0.7647058823529411,0.7556944839127278
