,precision,recall,f1-score,support
Beta,0.8620689655172413,0.8620689655172413,0.8620689655172413,29.0
Cray,0.6666666666666666,0.5,0.5714285714285714,12.0
Discuss,0.9629629629629629,0.8666666666666667,0.9122807017543859,30.0
Gold,0.9,0.8709677419354839,0.8852459016393442,31.0
Guppy,0.7631578947368421,1.0,0.8656716417910447,29.0
Oscar,0.7,0.6363636363636364,0.6666666666666666,22.0
accuracy,0.8300653594771242,0.8300653594771242,0.8300653594771242,0.8300653594771242
macro avg,0.8091427483139522,0.7893445017471715,0.7938937414662091,153.0
weighted avg,0.8321599204984138,0.8300653594771242,0.8264008571189613,153.0
