,precision,recall,f1-score,support
Beta,0.7586206896551724,0.7586206896551724,0.7586206896551724,29.0
Cray,0.5,0.3333333333333333,0.4,12.0
Discuss,1.0,0.8666666666666667,0.9285714285714286,30.0
Gold,0.8125,0.8387096774193549,0.8253968253968254,31.0
Guppy,0.725,1.0,0.8405797101449275,29.0
Oscar,0.5555555555555556,0.45454545454545453,0.5,22.0
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411
macro avg,0.7252793742017881,0.708645970269997,0.7088614422947256,153.0
weighted avg,0.7610112563543937,0.7647058823529411,0.7556944839127278,153.0
